Rec: 2,PVE,Undone,6
Black,9,8
White,10,9
Black,8,9
White,8,8
Black,10,7
White,11,6
6
->2
Rec: 1,PVP,Undone,7
Black,5,6
White,5,7
Black,7,7
White,6,6
Black,6,7
White,9,9
Black,8,5
7
->1
Rec: 3,PVE,black,11
Black,8,8
White,9,9
Black,9,8
White,10,9
Black,8,9
White,10,8
Black,8,7
White,10,7
Black,8,10
White,7,6
Black,8,11
11
->3
Rec: 2,PVE,Undone,1
Black,8,8
1
->2
